lexeme,sub_trait,subtrait_id
duduk,e_activity,27
komunikasinya,e_activity,27
praktik,e_activity,27
ngerental,e_activity,27
nyari_duit,e_activity,27
mandi,e_activity,27
dandan,e_activity,27
garuk,e_activity,27
sisiran,e_activity,27
ngoleksi,e_activity,27
karir,e_activity,27
review,e_activity,27
ngantor,e_activity,27
pekerja,e_activity,27
tekun,e_activity,27
lincah,e_activity,27
lambat,e_activity,27
bangun,e_activity,27
terbantu,e_activity,27
hidupkan,e_activity,27
siap_berpesta,e_activity,27
merayakan,e_activity,27
biar_seru,e_activity,27
mesti_nyala,e_activity,27
masih_panjang,e_activity,27
mau,e_activity,27
ajakan,e_activity,27
ucapkan,e_activity,27
ayo,e_activity,27
kapan,e_activity,27
saya_ajak,e_activity,27
mengajak,e_activity,27
sering_sering,e_activity,27
monggo,e_activity,27
mencium,e_activity,27
dikerjain,e_activity,27
memayungi,e_activity,27
tanggal_main,e_activity,27
aksi,e_activity,27
meninggalkan,e_activity,27
menggiring,e_activity,27
ikut_gerakan,e_activity,27
bergabung,e_activity,27
membujuk,e_activity,27
masih_nyari,e_activity,27
sedang_mencari,e_activity,27
mencari,e_activity,27
cara_nyimpen,e_activity,27
lagi_pake,e_activity,27
lagi_make,e_activity,27
sedang_menggunakan,e_activity,27
kuliah,e_activity,27
sampe,e_activity,27
nyampe,e_activity,27
tiba,e_activity,27
menuju,e_activity,27
ngantri,e_activity,27
dapet,e_activity,27
ke_sana,e_activity,27
ngedit,e_activity,27
edit_foto,e_activity,27
dibahas,e_activity,27
mau_bobo,e_activity,27
lompat,e_activity,27
gue_ceritain,e_activity,27
ikut_kajian,e_activity,27
ngintilin,e_activity,27
menyelundupkan,e_activity,27
lihat,e_activity,27
berkesempatan,e_activity,27
dilayer,e_activity,27
usap,e_activity,27
oles,e_activity,27
sekali_swatch,e_activity,27
ngata2in_w,e_activity,27
main_hp,e_activity,27
ngelakuin_suatu_hal,e_activity,27
ngelamar_kerja,e_activity,27
karaokean,e_activity,27
minum,e_activity,27
cerita2,e_activity,27
ngurusin,e_activity,27
tdr2an,e_activity,27
nidurin,e_activity,27
main2,e_activity,27
menjual,e_activity,27
nonton_vidio,e_activity,27
poles,e_activity,27
beli_gara2_promo,e_activity,27
rataiin_pake_tangan,e_activity,27
denger2,e_activity,27
ganti_passport,e_activity,27
tinggal,e_activity,27
foto_sebelum_makan,e_activity,27
tarik,e_activity,27
ngetweet,e_activity,27
bangun_siang,e_activity,27
nyetir,e_activity,27
mencari_nafkah,e_activity,27
nyapa2,e_activity,27
ngucapin,e_activity,27
minum_kopi,e_activity,27
latihan_nembak,e_activity,27
mancing,e_activity,27
cerita_cerita,e_activity,27
berulang_ulang,e_activity,27
make_tipis2,e_activity,27
minta_punya_temen,e_activity,27
nyempil,e_activity,27
bolak_balik,e_activity,27
nyari_buku,e_activity,27
lari_pagi,e_activity,27
ngecek_saldo_atm,e_activity,27
diobok_obok,e_activity,27
pasang_ac,e_activity,27
siapin_oleh2,e_activity,27
baca2in_surat,e_activity,27
lagi_ngedit,e_activity,27
ospek,e_activity,27
usep_usep,e_activity,27
ngapalin,e_activity,27
bikin_lagu,e_activity,27
nyari_keringet,e_activity,27
ngebacot,e_activity,27
rafting,e_activity,27
persiapan,e_activity,27
sahur,e_activity,27
menghafal,e_activity,27
ngemut,e_activity,27
keliling_asia,e_activity,27
sarapan_pagi,e_activity,27
jalan_jalan_sore,e_activity,27
melukis,e_activity,27
nge_gym,e_activity,27
main_futsal,e_activity,27
hunting_foto,e_activity,27
main_baseball,e_activity,27
berenang,e_activity,27
olahraga,e_activity,27
maen_tebak2an,e_activity,27
urus_anak_suami,e_activity,27
ngemc_in,e_activity,27
potong_kambing,e_activity,27
ubah,e_activity,27
umroh,e_activity,27
masak,e_activity,27
kelayapan,e_activity,27
karaoke,e_activity,27
main_ama_ikan,e_activity,27
mendaki,e_activity,27
latihan_vocal,e_activity,27
hajar,e_activity,27
jadian_yuk,e_activity,27
ayo_bersulang,e_activity,27
besok_jumpa_kawan,e_activity,27
fiuhhh,e_activity,27
saya_jawab,e_activity,27
kalau_melihat,e_activity,27
mau_ngeluarin,e_activity,27
mau_mengeluarkan,e_activity,27
nanti_main,e_activity,27
nyomot,e_activity,27
mengambil,e_activity,27
sepik_sepik,e_activity,27
rayu_rayu,e_activity,27
siap_berjoget,e_activity,27
udah_ya,e_activity,27
udahan_ah,e_activity,27
udh_gw_imbau,e_activity,27
sudah_saya_himbau,e_activity,27
yuk_baikan,e_activity,27
berekpresi,e_activity,27
mengekspresikan_sesuatu,e_activity,27
merepotkan,e_activity,27
pengaruh_besar,e_activity,27
dampak,e_activity,27
romantis_mana,o_aesthetics,51
wadidaw,o_aesthetics,51
cantik,o_aesthetics,51
gokil,o_aesthetics,51
cantik_kak,o_aesthetics,51
info_menarik,o_aesthetics,51
idaman,o_aesthetics,51
ideal,o_aesthetics,51
indahmu,o_aesthetics,51
indahnya,o_aesthetics,51
keindahan,o_aesthetics,51
mantab,o_aesthetics,51
mempesona,o_aesthetics,51
takjub,o_aesthetics,51
wah_bagus,o_aesthetics,51
indah,o_aesthetics,51
manis2,o_aesthetics,51
monoton,o_aesthetics,51
menarik,o_aesthetics,51
unik,o_aesthetics,51
lagu_bagus,o_aesthetics,51
lagu_jelek,o_aesthetics,51
ahli_estetika,o_aesthetics,51
ahli_musik,o_aesthetics,51
sangat_bagus,o_aesthetics,51
luar_biasa,o_aesthetics,51
keren,o_aesthetics,51
jelek,o_aesthetics,51
komedi,o_aesthetics,51
unik2,o_aesthetics,51
sempurna,o_aesthetics,51
hiburan,o_aesthetics,51
sebuah_kekayaan,o_aesthetics,51
tak_terbantahkan,o_aesthetics,51
industri_kreatif,o_aesthetics,51
surga_dunia,o_aesthetics,51
terlihat_bagus,o_aesthetics,51
warnanya_variatif,o_aesthetics,51
dijadikan_ombre,o_aesthetics,51
cantik_banget,o_aesthetics,51
baguuus,o_aesthetics,51
sebagus_dan_seniat,o_aesthetics,51
terlihat_natural,o_aesthetics,51
keliatan_segeran,o_aesthetics,51
keliatannya_glossy,o_aesthetics,51
langsung_keluar_warnanya,o_aesthetics,51
warnanya_merah_menyala,o_aesthetics,51
warna_warnanya_bagus,o_aesthetics,51
warnanya_bikin_cerah,o_aesthetics,51
ngegencreng,o_aesthetics,51
keliatan_keren,o_aesthetics,51
mengalir_indah,o_aesthetics,51
wanginya_vanila_enak,o_aesthetics,51
keliatan_jadi_seger,o_aesthetics,51
ada_efek_glossynya,o_aesthetics,51
keliatan_mewah,o_aesthetics,51
sangat_menarik,o_aesthetics,51
wajah_terlihat_natural,o_aesthetics,51
aromanya_manis,o_aesthetics,51
warnanya_cantik,o_aesthetics,51
warnanya_super_cantik,o_aesthetics,51
